ファイル名,認識結果,信頼度,個別予測,個別信頼度
星光合否判定テスト_採点前_19_mosaic,01762808,0.9901,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[6, 6, 6]|[2, 2, 2]|[8, 8, 8]|[0, 0, 0]|[8, 8, 8]","[0.9999983310699463, 0.9999983310699463, 0.9999814033508301]|[0.9999980926513672, 0.9999980926513672, 0.9999980926513672]|[0.953370213508606, 0.953370213508606, 0.8574880957603455]|[1.0, 1.0, 1.0]|[0.999862551689148, 0.9999209642410278, 0.9991505146026611]|[0.9999963045120239, 0.9999874830245972, 0.9999963045120239]|[0.999998927116394, 0.9999992847442627, 0.999998927116394]|[0.9999287128448486, 0.9998038411140442, 0.9998262524604797]"
星光合否判定テスト_採点前_15_mosaic,01956391,0.8836,"[1, 0, 0, 1, 0, 0, 8, 0, 0, 6, 0, 0, 8, 0, 0, 1, 0, 0, 1, 0, 0, 1, 6, 0, 8, 0, 0]|[1, 1, 1]|[9, 9, 9]|[5, 5, 5]|[6, 6, 6]|[3, 3, 3]|[9, 9, 9]|[1, 1, 8, 8, 6, 8, 1, 6, 6, 1, 1, 1, 8, 6, 1, 8, 6, 1, 1, 5, 8, 8, 5, 1, 8, 8, 8]","[0.7021260857582092, 0.6957229375839233, 0.5861914157867432, 0.4118649363517761, 0.715571939945221, 0.4154477119445801, 0.5592694878578186, 0.7641476988792419, 0.43296703696250916, 0.7694344520568848, 0.7278185486793518, 0.5861914157867432, 0.5436201691627502, 0.7573837041854858, 0.5975037813186646, 0.3966370224952698, 0.8650148510932922, 0.5230616331100464, 0.986983060836792, 0.6957229375839233, 0.7473313212394714, 0.5464820265769958, 0.38168367743492126, 0.4662707448005676, 0.31161054968833923, 0.5385150909423828, 0.4240611493587494]|[0.9999924898147583, 0.9999473094940186, 0.9999924898147583]|[0.9704174995422363, 0.9704174995422363, 0.9697684049606323]|[0.8556200265884399, 0.8556200265884399, 0.8830018043518066]|[0.9998268485069275, 0.9998268485069275, 0.9994353652000427]|[0.9999204874038696, 0.9999039173126221, 0.9999854564666748]|[0.9474970102310181, 0.9519251585006714, 0.9474970102310181]|[0.697711169719696, 0.8402954936027527, 0.3986789286136627, 0.6482760906219482, 0.47666630148887634, 0.7333152294158936, 0.5541359782218933, 0.6407080292701721, 0.6554731726646423, 0.9577987194061279, 0.6135316491127014, 0.9965392351150513, 0.7085778713226318, 0.46589741110801697, 0.5565887093544006, 0.5731484889984131, 0.6034281849861145, 0.5807919502258301, 0.8967188000679016, 0.9746366739273071, 0.6867625117301941, 0.731697142124176, 0.9945117235183716, 0.646822452545166, 0.7126891613006592, 0.48164844512939453, 0.7368168234825134]"
星光合否判定テスト_採点前_40_mosaic,01809137,0.9997,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[9, 9, 9]|[1, 1, 1]|[3, 3, 3]|[7, 7, 7]","[0.9999629259109497, 0.9999629259109497, 0.9999456405639648]|[0.9999998807907104, 0.9999988079071045, 0.9999997615814209]|[0.9999982118606567, 0.9999759197235107, 0.9999982118606567]|[0.9999984502792358, 0.9999984502792358, 0.9999982118606567]|[0.9993341565132141, 0.9993341565132141, 0.9993341565132141]|[0.9999997615814209, 0.9999997615814209, 0.9999997615814209]|[0.9978965520858765, 0.998262345790863, 0.9999006986618042]|[0.9999867677688599, 0.9999904632568359, 0.9999867677688599]"
星光合否判定テスト_採点前_23_mosaic,11786295,0.9482,"[1, 1, 1]|[1, 1, 1]|[7, 7, 7]|[8, 8, 8]|[6, 6, 6]|[2, 2, 2]|[7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 0, 9, 9, 9, 9, 7, 9, 9, 7, 9, 9, 8, 9, 8, 9, 9, 9]|[5, 5, 5]","[0.9675729870796204, 0.9243075847625732, 0.9675729870796204]|[0.9999998807907104, 0.9999995231628418, 0.9999998807907104]|[0.9987956285476685, 0.9987216591835022, 0.9987956285476685]|[0.9998602867126465, 0.9998602867126465, 0.9999616146087646]|[0.9999786615371704, 0.9999786615371704, 0.999998927116394]|[0.9945752620697021, 0.9945752620697021, 0.9945752620697021]|[0.49669498205184937, 0.5142856240272522, 0.370610773563385, 0.9514958262443542, 0.4585980772972107, 0.7987640500068665, 0.96186763048172, 0.6270586848258972, 0.6071251630783081, 0.7213501334190369, 0.6958298087120056, 0.3622610569000244, 0.9093174338340759, 0.6789531707763672, 0.7987640500068665, 0.5618833899497986, 0.8281844258308411, 0.6752882599830627, 0.5580135583877563, 0.5186284780502319, 0.5995898246765137, 0.39153802394866943, 0.6911041736602783, 0.46975427865982056, 0.7952477931976318, 0.5700390934944153, 0.6539642214775085]|[1.0, 0.9999985694885254, 1.0]"
星光合否判定テスト_採点前_1_mosaic,01675362,0.9778,"[0, 0, 0]|[1, 1, 1]|[6, 6, 6]|[7, 7, 7]|[5, 5, 5]|[3, 3, 3]|[6, 6, 6]|[2, 7, 7, 2, 3, 7, 2, 3, 7, 2, 2, 2, 2, 7, 7, 2, 7, 7, 2, 2, 7, 2, 3, 7, 2, 3, 7]","[0.9999608993530273, 0.9999608993530273, 0.9999445676803589]|[0.9999998807907104, 0.9999998807907104, 0.9999998807907104]|[0.9999823570251465, 0.9999679327011108, 0.9999823570251465]|[0.9999998807907104, 0.9999996423721313, 0.9999998807907104]|[0.9959483742713928, 0.9917674660682678, 0.9959483742713928]|[0.9990818500518799, 0.9995869994163513, 0.9990818500518799]|[0.9999188184738159, 0.9999501705169678, 0.9999188184738159]|[0.8390839695930481, 0.9165497422218323, 0.5950205326080322, 0.8615502715110779, 0.9825484752655029, 0.7778827548027039, 0.9725399017333984, 0.9498404264450073, 0.871648907661438, 0.8409568071365356, 0.6684174537658691, 0.5545089244842529, 0.9317180514335632, 0.9915400147438049, 0.7778827548027039, 0.9784552454948425, 0.5713781118392944, 0.8572006225585938, 0.919879138469696, 0.9504721760749817, 0.7057572603225708, 0.8296666145324707, 0.7284938097000122, 0.7090482115745544, 0.9116592407226562, 0.8937133550643921, 0.7864797711372375]"
星光合否判定テスト_採点前_31_mosaic,01793209,0.9652,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[9, 9, 9]|[3, 3, 3]|[2, 7, 7, 2, 7, 2, 2, 7, 1, 2, 7, 7, 2, 7, 2, 2, 7, 2, 7, 7, 2, 2, 7, 2, 2, 7, 1]|[0, 0, 0]|[9, 9, 9]","[0.9999860525131226, 0.9999860525131226, 0.9999750852584839]|[0.9999995231628418, 0.9999992847442627, 0.9999996423721313]|[0.9982852339744568, 0.9985199570655823, 0.9982852339744568]|[0.9998446702957153, 0.9998446702957153, 0.9993579983711243]|[0.9471031427383423, 0.9518215656280518, 0.8019303679466248]|[0.5237913727760315, 0.8965844511985779, 0.6666467785835266, 0.9892668724060059, 0.9778625965118408, 0.7430609464645386, 0.9994012117385864, 0.9748048186302185, 0.7634614706039429, 0.9937159419059753, 0.8954758048057556, 0.4955069124698639, 0.9398453831672668, 0.9958205223083496, 0.6152607798576355, 0.7978932857513428, 0.8396642804145813, 0.8219722509384155, 0.8304473161697388, 0.6005867123603821, 0.5199167728424072, 0.9975579977035522, 0.8970761299133301, 0.9536450505256653, 0.9772228598594666, 0.957568347454071, 0.5919303894042969]|[0.9999849796295166, 0.9999849796295166, 0.9998563528060913]|[0.9992789626121521, 0.9993243217468262, 0.9992789626121521]"
星光合否判定テスト_採点前_10_mosaic,01738893,0.9666,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[3, 3, 3]|[8, 8, 8]|[8, 8, 8]|[9, 1, 9, 9, 9, 9, 9, 7, 7, 9, 1, 7, 9, 9, 9, 4, 7, 7, 9, 7, 7, 9, 9, 9, 7, 7, 7]|[3, 3, 3]","[0.9992455244064331, 0.9992455244064331, 0.9765914678573608]|[0.999933123588562, 0.9997625946998596, 0.999903678894043]|[0.9876523017883301, 0.9929682612419128, 0.9675408005714417]|[0.9999936819076538, 0.999992847442627, 0.9999936819076538]|[0.9962880611419678, 0.9962880611419678, 0.9943720102310181]|[0.9865705370903015, 0.9972313046455383, 0.9995532631874084]|[0.9141035676002502, 0.3833525776863098, 0.9298117160797119, 0.7616029977798462, 0.9081045985221863, 0.7219754457473755, 0.8969409465789795, 0.9810753464698792, 0.48540258407592773, 0.9677388668060303, 0.45032528042793274, 0.8416448831558228, 0.9652767181396484, 0.6951264142990112, 0.5163872241973877, 0.420322984457016, 0.9909824728965759, 0.6915127038955688, 0.915563702583313, 0.774660587310791, 0.7638661861419678, 0.7840849161148071, 0.7997069954872131, 0.8452699780464172, 0.6211485862731934, 0.761752188205719, 0.9648042321205139]|[0.9998666048049927, 0.9998666048049927, 0.9998601675033569]"
星光合否判定テスト_採点前_34_mosaic,01801481,0.9812,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[1, 1, 1]|[4, 4, 4]|[8, 8, 8]|[1, 1, 1]","[0.9999892711639404, 0.9999856948852539, 0.9999768733978271]|[0.9999998807907104, 1.0, 0.9999998807907104]|[0.9495280981063843, 0.9491276144981384, 0.6533476710319519]|[0.9999783039093018, 0.9999762773513794, 0.9999783039093018]|[1.0, 1.0, 1.0]|[0.9995130300521851, 0.9995130300521851, 0.9988658428192139]|[0.9998753070831299, 0.9998753070831299, 0.9999973773956299]|[1.0, 0.9999992847442627, 1.0]"
星光合否判定テスト_採点前_49_mosaic,11825410,0.9215,"[1, 1, 1, 1, 1, 6, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 0, 1]|[1, 1, 1]|[8, 8, 8]|[2, 7, 7, 2, 1, 1, 2, 1, 1, 2, 7, 7, 2, 1, 2, 2, 1, 1, 2, 7, 2, 2, 1, 1, 2, 1, 7]|[5, 5, 5]|[4, 4, 4]|[1, 1, 1]|[0, 0, 0]","[0.9608687162399292, 0.9444803595542908, 0.8045262098312378, 0.9910382032394409, 0.4375848174095154, 0.636864423751831, 0.990458607673645, 0.6736010313034058, 0.8074554800987244, 0.9418081641197205, 0.9081534743309021, 0.8638662695884705, 0.973787784576416, 0.4383130669593811, 0.6127811670303345, 0.9713932275772095, 0.26663491129875183, 0.5444965362548828, 0.7092846632003784, 0.43195992708206177, 0.8638662695884705, 0.9884556531906128, 0.527336597442627, 0.537469208240509, 0.5106143951416016, 0.4729805886745453, 0.8639826774597168]|[0.9999986886978149, 0.9999986886978149, 0.9999970197677612]|[0.9137284159660339, 0.9743615388870239, 0.9137284159660339]|[0.9973575472831726, 0.9787978529930115, 0.5166922807693481, 0.978066086769104, 0.847626805305481, 0.6528081893920898, 0.9921804666519165, 0.9419917464256287, 0.4219243824481964, 0.9907930493354797, 0.9972805976867676, 0.5166922807693481, 0.6712055802345276, 0.3883325755596161, 0.8793376088142395, 0.9880478382110596, 0.9022436141967773, 0.5581003427505493, 0.9967441558837891, 0.9949865341186523, 0.7648468613624573, 0.8052088618278503, 0.5268398523330688, 0.6628017425537109, 0.9996353387832642, 0.8291585445404053, 0.48969075083732605]|[0.9297705888748169, 0.9297705888748169, 0.9352858662605286]|[0.9997227787971497, 0.9997227787971497, 0.9999029636383057]|[0.9999998807907104, 0.9999998807907104, 0.9999995231628418]|[0.9898557662963867, 0.9898557662963867, 0.9898557662963867]"
星光合否判定テスト_採点前_4_mosaic,01709404,0.9844,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[0, 0, 0]|[9, 9, 9]|[4, 4, 4]|[0, 0, 0]|[4, 4, 4]","[0.9985320568084717, 0.9985320568084717, 0.9991263747215271]|[0.9999737739562988, 0.9999737739562988, 0.9999436140060425]|[0.9999980926513672, 0.999984622001648, 0.9999980926513672]|[0.9999207258224487, 0.9999207258224487, 0.9999502897262573]|[0.9626638889312744, 0.9626638889312744, 0.7559010982513428]|[0.9998692274093628, 0.9998692274093628, 0.9992838501930237]|[0.9999593496322632, 0.9999665021896362, 0.9999942779541016]|[0.9988571405410767, 0.950983464717865, 0.9998862743377686]"
星光合否判定テスト_採点前_26_mosaic,01788514,0.9607,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[8, 8, 8]|[8, 8, 8]|[5, 5, 9, 9, 9, 5, 5, 5, 5, 9, 5, 5, 9, 9, 9, 9, 9, 5, 5, 5, 5, 9, 5, 9, 9, 9, 5]|[1, 1, 1]|[4, 4, 4]","[0.9999935626983643, 0.9999935626983643, 0.9999921321868896]|[0.9999977350234985, 0.9999977350234985, 0.9999977350234985]|[0.9984939098358154, 0.9984939098358154, 0.9984939098358154]|[0.9367464184761047, 0.9367464184761047, 0.9007470607757568]|[0.9999051094055176, 0.9999845027923584, 0.9999936819076538]|[0.9035314917564392, 0.6595664024353027, 0.5910614132881165, 0.9792485237121582, 0.831742525100708, 0.534920334815979, 0.8001500964164734, 0.5976072549819946, 0.9062666296958923, 0.5391729474067688, 0.6646891236305237, 0.8675761222839355, 0.7029948830604553, 0.8586517572402954, 0.8904763460159302, 0.9812931418418884, 0.7348463535308838, 0.7518324255943298, 0.9937360286712646, 0.8779087662696838, 0.9963933825492859, 0.5085329413414001, 0.6794939041137695, 0.5295498967170715, 0.9346880316734314, 0.8746764659881592, 0.7007165551185608]|[0.9999998807907104, 0.9999991655349731, 0.9999998807907104]|[0.9972211122512817, 0.9726079106330872, 0.9972211122512817]"
星光合否判定テスト_採点前_8_mosaic,01714495,0.9440,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[1, 1, 1]|[4, 4, 4]|[4, 9, 9, 4, 9, 4, 4, 4, 4, 4, 9, 9, 4, 4, 9, 9, 4, 9, 9, 9, 9, 4, 4, 9, 9, 4, 4]|[9, 9, 9]|[5, 5, 5]","[0.9999977350234985, 0.9999977350234985, 0.9999977350234985]|[0.9999996423721313, 0.9999996423721313, 0.9999982118606567]|[0.9999915361404419, 0.9998601675033569, 0.9999915361404419]|[0.8948063254356384, 0.9853589534759521, 0.8948063254356384]|[0.9893969297409058, 0.9796028733253479, 0.9944565296173096]|[0.754979133605957, 0.6001128554344177, 0.9138579964637756, 0.9385086297988892, 0.543875515460968, 0.5531926155090332, 0.5432406067848206, 0.9487047791481018, 0.567637026309967, 0.8955207467079163, 0.5420650243759155, 0.9833580851554871, 0.8955827355384827, 0.8130142092704773, 0.6277071237564087, 0.8852729797363281, 0.9606292843818665, 0.9813636541366577, 0.6994050145149231, 0.6277416348457336, 0.9809055328369141, 0.9138504266738892, 0.6269021034240723, 0.6811612248420715, 0.7290970683097839, 0.9692659378051758, 0.5737389922142029]|[0.8683745861053467, 0.8764966726303101, 0.8683745861053467]|[0.9999865293502808, 0.9999865293502808, 0.9999510049819946]"
星光合否判定テスト_採点前_38_mosaic,01807247,0.9883,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[7, 7, 7]|[2, 2, 2]|[4, 4, 4]|[7, 7, 7]","[0.9999995231628418, 0.9999995231628418, 0.9999995231628418]|[1.0, 1.0, 1.0]|[1.0, 1.0, 1.0]|[1.0, 1.0, 1.0]|[0.9999957084655762, 0.9999972581863403, 0.9999990463256836]|[0.9237545132637024, 0.8201562166213989, 0.9750534296035767]|[1.0, 1.0, 0.9999998807907104]|[0.9999663829803467, 0.9999663829803467, 0.9999663829803467]"
星光合否判定テスト_採点前_45_mosaic,01813454,0.9993,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[1, 1, 1]|[3, 3, 3]|[4, 4, 4]|[5, 5, 5]|[4, 4, 4]","[0.9999998807907104, 0.9999996423721313, 0.9999998807907104]|[0.9999998807907104, 0.9999996423721313, 0.9999997615814209]|[0.9999997615814209, 0.9999911785125732, 1.0]|[0.999998927116394, 0.999998927116394, 0.9999970197677612]|[0.9998937845230103, 0.9854661226272583, 0.9995009899139404]|[0.9996862411499023, 0.9996862411499023, 0.9996862411499023]|[0.9999997615814209, 0.9999998807907104, 0.9999997615814209]|[0.9999966621398926, 0.9999966621398926, 0.9999991655349731]"
星光合否判定テスト_採点前_12_mosaic,01744289,0.8942,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[4, 9, 4, 4, 9, 9, 4, 9, 4, 4, 7, 4, 4, 4, 9, 4, 4, 4, 4, 4, 4, 4, 9, 9, 4, 9, 4]|[4, 4, 4]|[2, 2, 7]|[8, 8, 8]|[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 1, 4, 9, 9, 4, 9, 9, 9, 9, 1, 4, 1, 1, 1, 4]","[0.9987753033638, 0.997642457485199, 0.9987753033638]|[0.9999980926513672, 0.9999793767929077, 0.9999955892562866]|[0.9942927360534668, 0.9484485387802124, 0.9942927360534668]|[0.5483770966529846, 0.4661628007888794, 0.6957216262817383, 0.4614863991737366, 0.873708963394165, 0.903406023979187, 0.7124073505401611, 0.4606666564941406, 0.6421037316322327, 0.7602407336235046, 0.43838411569595337, 0.7906162738800049, 0.7392719388008118, 0.5209958553314209, 0.4521239399909973, 0.7439999580383301, 0.5036087036132812, 0.6795915365219116, 0.6328856348991394, 0.8916494846343994, 0.4874366223812103, 0.5072216391563416, 0.7833760976791382, 0.4457028806209564, 0.7879334092140198, 0.6029108762741089, 0.591560423374176]|[0.9214781522750854, 0.8920481204986572, 0.9214781522750854]|[0.9458117485046387, 0.9458117485046387, 0.6765493154525757]|[0.9609944224357605, 0.9609944224357605, 0.9928352236747742]|[0.9918843507766724, 0.9927217364311218, 0.9974752068519592, 0.5066382884979248, 0.5426267981529236, 0.963567852973938, 0.7143312096595764, 0.674403727054596, 0.9113974571228027, 0.9211088418960571, 0.9570410251617432, 0.9936256408691406, 0.8343480825424194, 0.6893143653869629, 0.6944802403450012, 0.7066247463226318, 0.5701825618743896, 0.9119206666946411, 0.9909906387329102, 0.9499717950820923, 0.95107501745224, 0.6892735362052917, 0.6102622151374817, 0.9750520586967468, 0.8840910792350769, 0.48537883162498474, 0.552422285079956]"
星光合否判定テスト_採点前_47_mosaic,01816547,0.9852,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[1, 1, 1]|[6, 6, 6]|[5, 5, 5]|[4, 4, 4]|[7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 2, 7]","[0.9998602867126465, 0.9998602867126465, 0.9999423027038574]|[0.9999998807907104, 0.9999998807907104, 1.0]|[0.9999805688858032, 0.9999805688858032, 0.9999828338623047]|[0.9999995231628418, 0.9999996423721313, 0.9999995231628418]|[0.9998650550842285, 0.9998650550842285, 0.9998650550842285]|[0.9999997615814209, 0.9999998807907104, 1.0]|[0.9987661838531494, 0.9987661838531494, 0.999326229095459]|[0.9729195833206177, 0.9543307423591614, 0.9170223474502563, 0.945099949836731, 0.8135169148445129, 0.898054838180542, 0.9865540862083435, 0.6899558305740356, 0.8181344270706177, 0.6207316517829895, 0.7211949825286865, 0.877587616443634, 0.4600049555301666, 0.9894925355911255, 0.944105327129364, 0.9615327715873718, 0.7711949348449707, 0.6698888540267944, 0.9963517189025879, 0.958001971244812, 0.999085545539856, 0.9948128461837769, 0.9817107915878296, 0.9975025057792664, 0.943473219871521, 0.9614927768707275, 0.998497724533081]"
星光合否判定テスト_採点前_24_mosaic,01786480,0.9985,"[0, 0, 0]|[1, 1, 1]|[7, 7, 7]|[8, 8, 8]|[6, 6, 6]|[4, 4, 4]|[8, 8, 8]|[0, 0, 0]","[0.9999809265136719, 0.9999809265136719, 0.9999978542327881]|[0.999995231628418, 0.999995231628418, 0.9999866485595703]|[0.9860041737556458, 0.9933138489723206, 0.9860041737556458]|[0.9999991655349731, 0.9999991655349731, 0.9999997615814209]|[0.9999998807907104, 1.0, 0.9999998807907104]|[0.9999994039535522, 0.9999791383743286, 0.9999994039535522]|[0.9998255372047424, 0.9995527863502502, 0.9998255372047424]|[0.9999998807907104, 0.9999998807907104, 1.0]"
星光合否判定テスト_採点前_28_mosaic,01041246,0.8963,"[0, 0, 0]|[1, 1, 1]|[4, 0, 2, 1, 0, 1, 9, 4, 9, 4, 0, 9, 1, 0, 1, 4, 0, 1, 4, 0, 9, 1, 0, 1, 8, 6, 8]|[4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 4, 4, 9, 1, 9, 4, 4, 4, 4]|[1, 1, 1]|[2, 2, 2]|[4, 4, 4]|[6, 6, 6]","[0.9996626377105713, 0.9996626377105713, 0.9999098777770996]|[0.9998869895935059, 0.99946528673172, 0.9996434450149536]|[0.5794214010238647, 0.41114965081214905, 0.4183245301246643, 0.8748146295547485, 0.3703078031539917, 0.5669748783111572, 0.3688817024230957, 0.36855047941207886, 0.39515843987464905, 0.4423142373561859, 0.41114965081214905, 0.37732917070388794, 0.8748146295547485, 0.43924596905708313, 0.4904971718788147, 0.4632163345813751, 0.2540231943130493, 0.41356945037841797, 0.5088541507720947, 0.599535346031189, 0.27926307916641235, 0.8345614671707153, 0.8459935188293457, 0.6828171014785767, 0.6462275981903076, 0.33854544162750244, 0.38646915555000305]|[0.7223493456840515, 0.6427950859069824, 0.9329092502593994, 0.4752758741378784, 0.7753791213035583, 0.584060549736023, 0.8004145622253418, 0.7403331995010376, 0.7911781668663025, 0.5173758864402771, 0.9375765323638916, 0.9346910119056702, 0.8768033385276794, 0.9375553727149963, 0.4199266731739044, 0.8928371667861938, 0.6014289855957031, 0.7911781668663025, 0.8656330108642578, 0.8561895489692688, 0.6684299111366272, 0.5800161957740784, 0.4205489456653595, 0.46168944239616394, 0.6193088889122009, 0.6215755343437195, 0.7183363437652588]|[0.9999943971633911, 0.9999651908874512, 0.9999943971633911]|[0.9997478127479553, 0.9993305206298828, 0.960781991481781]|[0.968792200088501, 0.968792200088501, 0.968792200088501]|[1.0, 1.0, 1.0]"
星光合否判定テスト_採点前_6_mosaic,01016046,0.9368,"[0, 0, 0]|[1, 1, 1]|[7, 0, 7, 7, 0, 0, 7, 0, 0, 7, 0, 0, 7, 0, 0, 7, 0, 0, 7, 0, 0, 7, 0, 0, 7, 0, 7]|[1, 1, 1]|[6, 6, 6]|[7, 0, 0, 0, 0, 0, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 0, 0]|[4, 4, 4, 9, 9, 9, 9, 4, 4, 4, 4, 4, 4, 9, 9, 9, 4, 9, 9, 4, 4, 9, 4, 9, 9, 4, 9]|[6, 6, 6]","[0.9954286813735962, 0.9921509027481079, 0.9954286813735962]|[0.9928930401802063, 0.9761980175971985, 0.986448347568512]|[0.7202631235122681, 0.995827853679657, 0.5642703175544739, 0.7446029782295227, 0.6373162865638733, 0.6391022205352783, 0.9937708973884583, 0.8779350519180298, 0.7732052803039551, 0.6943415403366089, 0.9976835250854492, 0.8590937256813049, 0.570943295955658, 0.5894569158554077, 0.9926595091819763, 0.8624619841575623, 0.9768228530883789, 0.5360546112060547, 0.9983996748924255, 0.9942302703857422, 0.6595524549484253, 0.43637028336524963, 0.9583747386932373, 0.851671576499939, 0.33021774888038635, 0.9095823764801025, 0.9597638845443726]|[0.9999964237213135, 0.9999964237213135, 0.9999895095825195]|[0.9994903802871704, 0.9994903802871704, 0.9963864088058472]|[0.9925320744514465, 0.9869863390922546, 0.8771025538444519, 0.5866606831550598, 0.8421957492828369, 0.9636959433555603, 0.9381815791130066, 0.7830644845962524, 0.8558423519134521, 0.9630656242370605, 0.9984521865844727, 0.5290734171867371, 0.9955989122390747, 0.9353623390197754, 0.9636959433555603, 0.8670021295547485, 0.7476165890693665, 0.9865410923957825, 0.9999687671661377, 0.9931341409683228, 0.7920269966125488, 0.8805200457572937, 0.8415784239768982, 0.9972272515296936, 0.993009090423584, 0.9494852423667908, 0.6894654035568237]|[0.9901168942451477, 0.8427075147628784, 0.837134063243866, 0.9850968718528748, 0.9570407867431641, 0.9869099259376526, 0.9717796444892883, 0.9581437706947327, 0.865858256816864, 0.631184458732605, 0.8712368607521057, 0.9927956461906433, 0.645416796207428, 0.6689198613166809, 0.7775551080703735, 0.9802988171577454, 0.9852259755134583, 0.5369930267333984, 0.9383638501167297, 0.9816769361495972, 0.5974122881889343, 0.98459792137146, 0.585863471031189, 0.7255361676216125, 0.9581019282341003, 0.9925246834754944, 0.6352014541625977]|[0.9999692440032959, 0.9999692440032959, 0.9998094439506531]"
星光合否判定テスト_採点前_36_mosaic,01804001,1.0000,"[0, 0, 0]|[1, 1, 1]|[8, 8, 8]|[0, 0, 0]|[4, 4, 4]|[0, 0, 0]|[0, 0, 0]|[1, 1, 1]","[0.9998170733451843, 0.999868631362915, 0.9998170733451843]|[0.9999982118606567, 0.9999978542327881, 0.9999991655349731]|[0.9999967813491821, 0.9998807907104492, 0.9999967813491821]|[1.0, 0.9999998807907104, 0.9999997615814209]|[0.9999451637268066, 0.9999469518661499, 0.9999810457229614]|[0.9999796152114868, 0.9999626874923706, 0.9999796152114868]|[0.9999759197235107, 0.9999722242355347, 0.9999759197235107]|[1.0, 0.9999995231628418, 1.0]"
星光合否判定テスト_採点前_2_mosaic,01688450,0.9859,"[0, 0, 0]|[1, 1, 1]|[6, 6, 6]|[8, 8, 8]|[8, 1, 8, 8, 8, 8, 8, 8, 8, 8, 1, 8, 8, 1, 8, 8, 8, 8, 8, 1, 8, 8, 8, 8, 8, 6, 8]|[4, 4, 4]|[5, 5, 5]|[0, 0, 0]","[0.9999974966049194, 0.9999970197677612, 0.9999926090240479]|[1.0, 1.0, 0.9999998807907104]|[0.9999716281890869, 0.9999716281890869, 0.9999576807022095]|[0.9999960660934448, 0.9998748302459717, 0.9999960660934448]|[0.9998069405555725, 0.9960511326789856, 0.7077626585960388, 0.9999980926513672, 0.832845151424408, 0.8994194269180298, 0.9999380111694336, 0.632739245891571, 0.7387809753417969, 0.9999974966049194, 0.9187105298042297, 0.6352194547653198, 0.9999874830245972, 0.6145995855331421, 0.9075635671615601, 0.9999984502792358, 0.8033578991889954, 0.8563432097434998, 0.9767181277275085, 0.9928634762763977, 0.8610209226608276, 0.9999998807907104, 0.7799246907234192, 0.99436354637146, 0.9735455513000488, 0.9543663263320923, 0.963245153427124]|[0.996353030204773, 0.996353030204773, 0.9985388517379761]|[0.9999884366989136, 0.9999884366989136, 0.9999924898147583]|[0.999994158744812, 0.9999972581863403, 0.999994158744812]"
星光合否判定テスト_採点前_32_mosaic,01801082,0.9741,"[0, 0, 0]|[1, 1, 1]|[8, 1, 1, 8, 8, 8, 8, 8, 8, 8, 1, 1, 8, 8, 8, 8, 1, 8, 8, 5, 1, 8, 8, 8, 8, 1, 8]|[0, 0, 0]|[1, 1, 1]|[0, 0, 0]|[8, 8, 8]|[2, 2, 2]","[0.9997691512107849, 0.9999697208404541, 0.9964859485626221]|[0.9999994039535522, 0.9999903440475464, 0.9999996423721313]|[0.9923343062400818, 0.980952799320221, 0.8098488450050354, 0.9976930022239685, 0.8256962299346924, 0.539806604385376, 0.9941032528877258, 0.4251546859741211, 0.6005246043205261, 0.7928528785705566, 0.9441449642181396, 0.7912953495979309, 0.9973018169403076, 0.3374028503894806, 0.8841400742530823, 0.999574601650238, 0.7426169514656067, 0.6005246043205261, 0.9218437671661377, 0.8464493751525879, 0.5321673154830933, 0.9816438555717468, 0.7622383832931519, 0.5473313927650452, 0.9958139061927795, 0.699794590473175, 0.9267764687538147]|[0.9999752044677734, 0.9999942779541016, 0.9999881982803345]|[0.9999932050704956, 0.9999836683273315, 0.9999932050704956]|[0.999911904335022, 0.999911904335022, 0.999911904335022]|[0.9999841451644897, 0.9999978542327881, 0.9999991655349731]|[0.9991886019706726, 0.9993539452552795, 0.9994118213653564]"
