画像名,認識結果
星光合否判定テスト_採点前_1_mosaic,????????
星光合否判定テスト_採点前_2_mosaic,????????
星光合否判定テスト_採点前_3_mosaic,????????
星光合否判定テスト_採点前_4_mosaic,????????
星光合否判定テスト_採点前_5_mosaic,????????
星光合否判定テスト_採点前_6_mosaic,????????
星光合否判定テスト_採点前_7_mosaic,????????
星光合否判定テスト_採点前_8_mosaic,????????
星光合否判定テスト_採点前_9_mosaic,????????
